name,tag,adjustment,note
Josh Jacobs,bust,20,"Potential suspension exposure; groin injury in camp; real committee threat from MarShawn Lloyd"
Christian McCaffrey,bust,10,"Age 30; 450-touch 2025 workload; missed 13 games combined in each prior 400+ touch season"
De'Von Achane,bust,14,"QB downgrade to Malik Willis lowers RB target rate; Tua/McDaniel departures hurt scheme fit"
Cam Skattebo,bust,14,"Real committee with Tracy Jr., Singletary, Harris — ADP prices him as a clear lead back"
TreVeyon Henderson,bust,10,"NE role only clicks when Rhamondre Stevenson is hurt; 6.4 PPG average otherwise"
Mike Evans,bust,12,"Age 33; three preseason injuries; crowded new SF receiving corps behind Kittle/CMC"
Courtland Sutton,bust,12,"Target share drops after Waddle trade; Pat Bryant also pushing for looks"
Alec Pierce,bust,15,"Ankle surgery recovery, gradual workload plan, Keenan Allen added as direct competition"
DK Metcalf,bust,10,"Career-low target share in 2025; Rodgers' deep-ball rate is a poor scheme match"
Harold Fannin Jr.,bust,10,"New OC less TE-friendly; Watson has a thin TE target history; rookie competition at the position"
Josh Allen,value_note,5,"Priced as an overall top-20 pick well ahead of the next QB off the board (Lamar ~pick 41)"
Ashton Jeanty,injury_watch,10,"Ankle sprain, no firm return timeline as of late Aug — talent is real, term is the risk"
Jordyn Tyson,injury_watch,22,"Chronic hamstring — expected out into October, meaningful missed-game risk"
Puka Nacua,injury_watch,3,"Groin soreness but tracking to be ready Week 1"
Breece Hall,injury_watch,3,"Groin strain, trainers expect Week 1 despite early 2-3 week projection"
Malik Nabers,injury_watch,5,"Coming off ACL/meniscus — coach says playing Week 1 is reasonable, still worth monitoring"
Tucker Kraft,injury_watch,4,"ACL tear recovery has progressed to full participation, on track for Week 1"
George Kittle,injury_watch,4,"Torn Achilles, cleared PUP, on track for Week 1"
Tyler Warren,injury_watch,3,"Groin injury, not considered serious"
Luther Burden III,injury_watch,3,"Groin injury, trending in a positive direction"
Kyler Murray,breakout,8,"New O'Connell offense; rushing floor alone (36.7 YPG career) supports the price"
Tyler Shough,breakout,5,"Efficient early-career numbers; Kellen Moore's system designs him rushing work"
Jordan Mason,breakout,8,"Outproduces Jones on efficiency; new zone scheme fits his profile; clear path to touches"
De'Zhaun Stribling,breakout,6,"Elite athletic profile; praised in camp; injury-thinned SF WR corps ahead of him"
Rashid Shaheed,breakout,6,"Seahawks gave him a $51M extension — this is the long-term plan, not a trade throw-in"
Jalen McMillan,breakout,8,"Direct beneficiary of Mike Evans leaving Tampa; strong college production profile"
Dalton Kincaid,breakout,6,"Best yards-per-route among high-target TEs since 2020; Bills committed to more routes"
Isaiah Likely,breakout,8,"Clear starting TE role in NYG's thin pass-catching corps"
MarShawn Lloyd,breakout,5,"Addressed lingering ACL issues; real touches path if Jacobs' camp issues persist"
Adonai Mitchell,breakout,4,"Earning a real target share on a Jets offense that should improve"
Ryan Flournoy,breakout,3,"Produced directly when Lamb has been out; camp buzz in a high-volume offense"
Terrance Ferguson,breakout,5,"Highly drafted rookie TE, elite athletic testing, praised camp performance"
